transaction_id,timestamp,customer_id,card_id,device_id,ip_address,merchant_id,merchant_category,merchant_country,merchant_city,merchant_latitude,merchant_longitude,transaction_type,amount,currency,is_fraud,fraud_type
TXN000000066293,2025-06-03T17:45:38+00:00,CUST0055333,CARD0055333-1,fa3a75613a3b,61.35.21.190,MID013917,utilities,CA,South Amyborough,-25.857808,-166.188487,purchase,7.66,USD,1,geo_anomaly
TXN000000816038,2025-06-30T13:27:39+00:00,CUST0016911,CARD0054745-1,1e17d88ba295,165.244.103.32,MID014873,pharmacy,IT,Lake Brentborough,63.967032,113.831754,purchase,1.78,USD,1,card_testing
TXN000000398265,2025-06-10T16:35:25+00:00,CUST0013843,CARD0013843-1,ebdcab8dee39,3.134.177.64,MID000502,electronics,IN,New Jamesfurt,55.164645,36.470959,purchase,31.86,USD,0,
TXN000000307952,2025-04-13T21:37:41+00:00,CUST0080683,CARD0080683-2,7e305208e723,117.214.173.99,MID010330,grocery,IT,Melissachester,-49.642589,-18.220363,purchase,19.15,USD,0,
TXN000000687954,2025-07-16T05:33:24+00:00,CUST0069394,CARD0069394-1,97d92bf1b35a,143.58.190.43,MID003154,pharmacy,US,Port Michellechester,-37.25297,-136.696772,purchase,23.64,USD,0,
TXN000000853343,2024-11-17T03:20:33+00:00,CUST0040863,CARD0040863-1,83f86be8bfc0,182.160.100.158,MID003259,gas_station,DE,Christophershire,-18.900902,10.590392,purchase,142.54,USD,0,
TXN000000570213,2024-11-25T18:20:45+00:00,CUST0071727,CARD0071727-1,29adf472737d,73.236.141.107,MID013861,pharmacy,FR,East Frank,59.901486,7.322249,purchase,18.85,USD,0,
TXN000000169915,2025-05-21T06:25:20+00:00,CUST0069806,CARD0069806-2,46a9b521dbb0,17.46.36.134,MID010453,fashion,US,East Aaron,32.230313,39.003923,purchase,24.99,USD,0,
TXN000000665689,2025-06-25T07:32:55+00:00,CUST0085576,CARD0001143-1,5a45e28bd83f,14.76.218.74,MID005272,gas_station,AU,Paulton,50.896486,-30.742899,purchase,1.78,USD,1,card_testing
TXN000000166430,2025-06-29T16:39:13+00:00,CUST0027183,CARD0027183-1,7b37d444a345,136.182.167.18,MID019816,restaurants,BR,Michaelland,21.11626,-142.600184,purchase,22.96,USD,0,
TXN000000065013,2025-07-17T04:58:39+00:00,CUST0031648,CARD0031648-1,855ab5343841,142.51.195.43,MID018968,travel,FR,Estradaview,-38.290219,-55.325656,purchase,18.27,USD,0,
TXN000000097893,2024-12-30T01:58:08+00:00,CUST0081789,CARD0081789-2,a8c2b0a23015,164.19.234.72,MID008428,restaurants,GB,Lake Thomasshire,-47.610131,118.467099,purchase,29.98,USD,0,
TXN000000375356,2025-01-28T21:26:29+00:00,CUST0040188,CARD0081452-4,7bbea69cde57,6.38.39.51,MID002929,entertainment,ES,West Arthur,17.030939,115.146008,purchase,2.22,USD,1,card_testing
TXN000000157853,2025-09-09T14:57:42+00:00,CUST0084912,CARD0032969-1,36049367e3bc,251.232.193.223,MID006914,utilities,IT,Danielshire,-35.306372,131.180436,purchase,1.48,USD,1,card_testing
TXN000000533018,2024-11-05T15:06:58+00:00,CUST0004549,CARD0090949-1,200c8892d6f4,143.57.26.181,MID014364,travel,AU,Bensonshire,31.679908,77.868313,purchase,1.8,USD,1,card_testing
TXN000000413314,2025-10-02T19:23:23+00:00,CUST0023147,CARD0060909-2,e953d6327f4d,56.37.228.197,MID001253,utilities,DE,Reedland,54.271912,130.280646,purchase,1.49,USD,1,card_testing
TXN000000540612,2025-09-08T20:27:12+00:00,CUST0057090,CARD0057090-1,21837b85e0fa,116.195.191.191,MID009263,utilities,CA,Johnview,54.476576,91.633005,purchase,31.97,USD,1,geo_anomaly
TXN000000486997,2024-11-14T13:44:56+00:00,CUST0047438,CARD0080567-2,9aa150b2fa6a,186.227.198.77,MID001755,utilities,CA,West Scott,59.780622,14.660918,purchase,2.37,USD,1,card_testing
TXN000000896760,2025-03-27T17:34:38+00:00,CUST0060051,CARD0060051-1,f200afa05f0b,30.48.126.172,MID004636,fashion,IT,Lopezhaven,27.748572,-151.8175,purchase,16.8,USD,0,
TXN000000842899,2025-09-27T15:19:28+00:00,CUST0028748,CARD0028748-1,023c14ba7015,148.85.254.157,MID007886,online_marketplace,BR,Longfurt,8.156595,-40.233393,purchase,18.28,USD,0,
TXN000000820823,2025-06-09T17:06:19+00:00,CUST0055025,CARD0055025-2,f387541ed104,153.130.129.36,MID016488,travel,ES,New Amanda,-23.369682,-113.557307,purchase,47.01,USD,0,
TXN000000801691,2025-06-20T07:43:59+00:00,CUST0021986,CARD0021986-1,531424e2b52e,166.138.218.23,MID003484,gas_station,ES,Port Kimberlyburgh,47.23729,-106.605042,purchase,12.96,USD,0,
TXN000000887639,2025-05-03T22:48:13+00:00,CUST0076003,CARD0076003-1,3c9282edc885,53.38.237.225,MID012560,online_marketplace,IN,West Kimberlychester,-52.541375,-89.593238,purchase,8.82,USD,1,geo_anomaly
TXN000000784799,2025-01-01T13:43:36+00:00,CUST0005357,CARD0005357-1,f1dc41282026,218.198.69.72,MID012624,grocery,FR,North Michaelton,8.16325,105.065996,purchase,6.69,USD,0,
TXN000000705068,2025-06-29T14:04:59+00:00,CUST0068241,CARD0015526-1,0019f672f7ec,36.118.165.185,MID015153,utilities,ES,Hudsonmouth,25.026046,-32.608287,purchase,1.0,USD,1,card_testing
TXN000000936281,2025-08-19T04:42:01+00:00,CUST0076418,CARD0076418-2,9063cd668cb6,171.101.21.91,MID011975,electronics,ES,Elijahland,-31.99745,45.604601,purchase,59.93,USD,0,
TXN000000499085,2025-07-09T19:27:37+00:00,CUST0090178,CARD0090178-1,28dfec182763,103.202.24.122,MID004947,restaurants,IN,New Peterberg,2.74682,-91.613457,purchase,1.0,USD,0,
TXN000000119594,2024-12-02T20:45:13+00:00,CUST0055713,CARD0055713-4,ff5d545c73ef,244.132.238.190,MID001149,travel,GB,East Cynthialand,50.091768,12.389291,purchase,27.43,USD,0,
TXN000000433038,2025-07-15T07:02:59+00:00,CUST0022905,CARD0022905-2,117f8a3afcbc,106.190.171.211,MID013113,fashion,CA,Georgeburgh,25.904407,128.466393,purchase,76.28,USD,0,
TXN000000537718,2024-11-04T05:18:55+00:00,CUST0009012,CARD0009012-2,38268a497917,115.136.24.241,MID001853,utilities,CA,Port Jasonmouth,9.363056,107.61285,purchase,11.13,USD,0,
TXN000000643887,2025-06-08T19:00:46+00:00,CUST0078936,CARD0078936-4,beb6c12646f4,227.57.72.93,MID002363,fashion,ES,Lake Gabrielmouth,47.747139,171.030294,purchase,31.89,USD,0,
TXN000000769832,2024-11-25T19:30:20+00:00,CUST0013956,CARD0013956-1,de78bbb7d1b0,78.203.79.242,MID010237,entertainment,CA,West Matthew,60.421561,-7.364583,purchase,5.64,USD,0,
TXN000000644033,2025-04-15T22:28:54+00:00,CUST0074348,CARD0074348-1,41debf7298ae,38.220.44.123,MID015820,pharmacy,GB,New Jasonhaven,-16.685993,91.144619,purchase,132.77,USD,0,
